Rank,Name,Revenue,Expenses,Profit,Group,Source
1,Walmart,"$559,151 ","$545,641 ","$13,510 ",No,
2,Amazon,"$386,064 ","$364,733 ","$21,331 ",Yes,"https://www.investopedia.com/news/consumer-stocks-bump-techs-investors-favorite-sector/#:~:text=While%20often%20treated%20as%20a,core%20business%20in%20online%20retailing."
3,Apple,"$274,515 ","$217,104 ","$57,411 ",Yes,
4,CVS Health,"$268,706 ","$261,527 ","$7,179 ",No,
5,UnitedHealth Group,"$257,141 ","$241,738 ","$15,403 ",No,
6,Berkshire Hathaway,"$245,510 ","$202,989 ","$42,521 ",No,
7,McKesson,"$231,051 ","$230,151 ",$900 ,Yes,Healthcare Technology
8,AmerisourceBergen,"$189,893.90 ","$193,303 ","($3,408.70)",No,
9,Alphabet,"$182,527 ","$142,258 ","$40,269 ",Yes,https://www.forbes.com/companies/alphabet/
10,Exxon Mobil,"$181,502 ","$203,942 ","($22,440)",No,
11,AT&T,"$171,760 ","$176,936 ","($5,176)",Yes,"https://medium.com/bsg-sms/what-is-the-difference-between-it-and-telecommunications-c5d250436b3a#:~:text=Telecommunication%20technologies%20or%20Information%20and,%2C%20satellite%20communication%2C%20etc)."
12,Costco Wholesale,"$166,761 ","$162,759 ","$4,002 ",No,
13,Cigna,"$160,401 ","$151,943 ","$8,458 ",No,
14,Cardinal Health,"$152,922 ","$156,618 ","($3,696)",No,
15,Microsoft,"$143,015 ","$98,734 ","$44,281 ",Yes,
16,Walgreens Boots Alliance,"$139,537 ","$139,081 ",$456 ,No,
17,Kroger,"$132,498 ","$129,913 ","$2,585 ",No,
18,Home Depot,"$132,110 ","$119,244 ","$12,866 ",No,
19,JPMorgan Chase,"$129,503 ","$100,372 ","$29,131 ",No,
20,Verizon Communications,"$128,292 ","$110,491 ","$17,801 ",Yes,Telecommunications is considered tech
21,Ford Motor,"$127,144 ","$128,423 ","($1,279)",No,
22,General Motors,"$122,485 ","$116,058 ","$6,427 ",No,
23,Anthem,"$121,867 ","$117,295 ","$4,572 ",No,
24,Centene,"$111,115 ","$109,307 ","$1,808 ",No,https://www.centene.com/
25,Fannie Mae,"$106,437 ","$94,632 ","$11,805 ",No,
